"","id","date","time","events"
"354","mitsui","10/23/2004","8:10:28",122993
"355","mitsui","10/23/2004","8:27:36",122994
"356","mitsui","10/23/2004","50:41.5",122995
"357","mitsui","10/23/2004","13:24.5",122996
"358","mitsui","10/23/2004","12:35:04",122997
"359","mitsui","10/23/2004","12:38:39",122998
"360","mitsui","10/23/2004","43:33.5",122999
"361","mitsui","10/23/2004","12:46:30",123000
"362","mitsui","10/23/2004","12:56:51",123001
"363","mitsui","10/23/2004","06:46.5",123002
"364","mitsui","10/23/2004","13:18:57",123003
"365","mitsui","10/23/2004","25:07.5",123004
"366","mitsui","10/23/2004","14:40:55",123005
"367","mitsui","10/23/2004","54:22.5",123006
"368","mitsui","10/23/2004","43:21.5",123007
"369","mitsui","10/23/2004","15:48:26",123008
"370","mitsui","10/23/2004","15:57:01",123009
"371","mitsui","10/23/2004","16:14:37",123010
"372","mitsui","10/23/2004","16:20:03",123011
"373","mitsui","10/23/2004","16:23:53",123012
"374","mitsui","10/23/2004","16:28:19",123013
"375","mitsui","10/23/2004","29:54.5",123014
"376","mitsui","10/23/2004","16:33:02",123015
"377","mitsui","10/23/2004","36:52.5",123016
"378","mitsui","10/23/2004","16:49:49",123017
"379","mitsui","10/23/2004","55:06.5",123018
"380","mitsui","10/23/2004","17:05:51",123019
"381","mitsui","10/25/2004","59:18.5",123020
"382","mitsui","10/25/2004","20:08:53",123021
"383","mitsui","10/25/2004","14:08.5",123022
"384","mitsui","10/25/2004","19:35.5",123023
"385","mitsui","10/25/2004","20:24:26",123024
"386","mitsui","10/25/2004","20:28:26",123025
"387","mitsui","10/25/2004","20:31:02",123026
"388","mitsui","10/25/2004","22:28.5",123027
"389","mitsui","10/25/2004","30:34.5",123028
"390","mitsui","10/25/2004","33:39.5",123029
"391","mitsui","10/25/2004","21:40:31",123030
"392","mitsui","10/25/2004","43:57.5",123031
"393","mitsui","10/25/2004","59:36.5",123032
"394","mitsui","10/25/2004","06:35.5",123033
"395","mitsui","10/25/2004","09:15.5",123034
"396","mitsui","10/25/2004","14:07.5",123035
"397","mitsui","10/25/2004","17:58.5",123036
"398","mitsui","10/25/2004","22:21:19",123037
"399","mitsui","10/25/2004","22:23:41",123038
"400","mitsui","10/25/2004","25:47.5",123039
"401","mitsui","10/25/2004","28:12.5",123040
"402","mitsui","10/25/2004","22:31:32",123041
"403","mitsui","10/25/2004","34:29.5",123042
"404","mitsui","10/25/2004","38:06.5",123043
"405","mitsui","10/25/2004","40:07.5",123044
"406","mitsui","10/25/2004","41:38.5",123045
"407","mitsui","10/25/2004","22:44:02",123046
"408","mitsui","10/25/2004","22:46:48",123047
"409","mitsui","10/25/2004","22:51:24",123048
"410","mitsui","10/25/2004","03:15.5",123049
"411","mitsui","10/25/2004","05:47.5",123050
"412","mitsui","10/25/2004","23:09:17",123051
"413","mitsui","10/25/2004","23:11:27",123052
"414","mitsui","10/25/2004","14:45.5",123053
"415","mitsui","10/25/2004","16:05.5",123054
"416","mitsui","10/25/2004","23:17:43",123055
"417","mitsui","10/25/2004","23:18:59",123056
"418","mitsui","10/25/2004","23:19:59",123057
"419","mitsui","10/25/2004","21:48.5",123058
"420","mitsui","10/25/2004","23:22:54",123059
"421","mitsui","10/25/2004","23:28.5",123060
"422","mitsui","10/25/2004","24:32.5",123061
"423","mitsui","10/25/2004","25:51.5",123062
"424","mitsui","10/25/2004","23:27:48",123063
"425","mitsui","10/25/2004","29:06.5",123064
"426","mitsui","10/25/2004","23:29:49",123065
"427","mitsui","10/25/2004","30:34.5",123066
"428","mitsui","10/25/2004","23:32:47",123067
"429","mitsui","10/25/2004","23:35:02",123068
"430","mitsui","10/25/2004","36:35.5",123069
"431","mitsui","10/25/2004","38:24.5",123070
"432","mitsui","10/25/2004","23:39:42",123071
"433","mitsui","10/25/2004","40:25.5",123072
"434","mitsui","10/25/2004","40:55.5",123073
"435","mitsui","10/25/2004","23:41:38",123074
"436","mitsui","10/25/2004","23:42:59",123075
"437","mitsui","10/25/2004","23:44:05",123076
"438","mitsui","10/25/2004","23:44:36",123077
"439","mitsui","10/25/2004","23:45:04",123078
"440","mitsui","10/25/2004","23:45:36",123079
"441","mitsui","10/25/2004","46:09.5",123080
"442","mitsui","10/25/2004","47:12.5",123081
"443","mitsui","10/25/2004","23:48:16",123082
"444","mitsui","10/26/2004","0:05:54",123083
"445","mitsui","10/26/2004","12:55.5",123084
"446","mitsui","10/26/2004","0:14:22",123085
"447","mitsui","10/26/2004","17:44.5",123086
"448","mitsui","10/26/2004","0:18:29",123087
"449","mitsui","10/26/2004","18:59.5",123088
"450","mitsui","10/26/2004","20:03.5",123089
"451","mitsui","10/26/2004","21:06.5",123090
"452","mitsui","10/26/2004","0:21:55",123091
"453","mitsui","10/26/2004","22:39.5",123092
"454","mitsui","10/26/2004","23:58.5",123093
"455","mitsui","10/26/2004","26:33.5",123094
"456","mitsui","10/26/2004","0:27:28",123095
"457","mitsui","10/26/2004","0:28:15",123096
"458","mitsui","10/26/2004","29:09.5",123097
"459","mitsui","10/26/2004","0:29:41",123098
"460","mitsui","10/26/2004","0:30:07",123099
"461","mitsui","10/26/2004","31:13.5",123100
"462","mitsui","10/26/2004","0:34:12",123101
"463","mitsui","10/26/2004","36:46.5",123102
"464","mitsui","10/26/2004","0:40:45",123103
"465","mitsui","10/26/2004","0:43:38",123104
"466","mitsui","10/26/2004","45:10.5",123105
"467","mitsui","10/26/2004","0:45:56",123106
"468","mitsui","10/26/2004","0:46:39",123107
"469","mitsui","10/26/2004","0:46:56",123108
"470","mitsui","10/26/2004","0:47:12",123109
"471","mitsui","10/26/2004","47:22.5",123110
"472","mitsui","10/26/2004","47:34.5",123111
"473","mitsui","10/26/2004","47:48.5",123112
"474","mitsui","10/26/2004","0:48:23",123113
"475","mitsui","10/26/2004","49:14.5",123114
"476","mitsui","10/26/2004","50:27.5",123115
"477","mitsui","10/26/2004","0:51:24",123116
"478","mitsui","10/26/2004","52:26.5",123117
"479","mitsui","10/26/2004","0:53:30",123118
"480","mitsui","10/26/2004","0:54:26",123119
"481","mitsui","10/26/2004","0:55:05",123120
"482","mitsui","10/26/2004","56:16.5",123121
"483","mitsui","10/26/2004","57:04.5",123122
"484","mitsui","10/26/2004","0:57:45",123123
"485","mitsui","10/26/2004","0:58:29",123124
"486","mitsui","10/26/2004","59:18.5",123125
"487","mitsui","10/26/2004","0:59:54",123126
"488","mitsui","10/26/2004","00:59.5",123127
"489","mitsui","10/26/2004","02:22.5",123128
"490","mitsui","10/26/2004","1:04:01",123129
"491","mitsui","10/26/2004","05:36.5",123130
"492","mitsui","10/26/2004","06:52.5",123131
"493","mitsui","10/26/2004","07:52.5",123132
"494","mitsui","10/26/2004","09:24.5",123133
"495","mitsui","10/26/2004","10:56.5",123134
"496","mitsui","10/26/2004","1:13:45",123135
"497","mitsui","10/26/2004","1:16:03",123136
"498","mitsui","10/26/2004","18:22.5",123137
"499","mitsui","10/26/2004","1:20:38",123138
"500","mitsui","10/26/2004","1:23:33",123139
"501","mitsui","10/26/2004","1:25:10",123140
"502","mitsui","10/26/2004","26:56.5",123141
"503","mitsui","10/26/2004","1:28:18",123142
"504","mitsui","10/26/2004","30:11.5",123143
"505","mitsui","10/26/2004","1:31:48",123144
"506","mitsui","10/26/2004","1:34:13",123145
"507","mitsui","10/26/2004","1:35:37",123146
"508","mitsui","10/26/2004","1:37:05",123147
"509","mitsui","10/26/2004","1:38:49",123148
"510","mitsui","10/26/2004","41:25.5",123149
"511","mitsui","10/26/2004","43:49.5",123150
"512","mitsui","10/26/2004","47:06.5",123151
"513","mitsui","10/26/2004","49:34.5",123152
"514","mitsui","10/26/2004","1:51:32",123153
"515","mitsui","10/26/2004","1:53:13",123154
"516","mitsui","10/26/2004","1:55:58",123155
"517","mitsui","10/26/2004","1:58:47",123156
"518","mitsui","10/26/2004","00:52.5",123157
"519","mitsui","10/26/2004","2:02:58",123158
"520","mitsui","10/26/2004","2:05:05",123159
"521","mitsui","10/26/2004","2:06:48",123160
"522","mitsui","10/26/2004","2:09:38",123161
"523","mitsui","10/26/2004","17:31.5",123162
"524","mitsui","10/26/2004","24:34.5",123163
"525","mitsui","10/26/2004","56:14.5",123164
"526","mitsui","10/26/2004","29:46.5",123165
"527","mitsui","11/3/2004","19:33:43",123166
"528","mitsui","11/3/2004","53:51.5",123167
"529","mitsui","11/3/2004","21:24:44",123168
"530","mitsui","11/4/2004","6:54:43",123169
"531","mitsui","11/9/2004","20:30:30",123170
"532","mitsui","11/9/2004","22:52:12",123171
"533","mitsui","11/9/2004","23:09:53",123172
"534","mitsui","11/9/2004","23:19:27",123173
"535","mitsui","11/9/2004","23:39:49",123174
"536","mitsui","11/9/2004","54:28.5",123175
"537","mitsui","11/10/2004","00:25.5",123176
"538","mitsui","11/10/2004","08:33.5",123177
"539","mitsui","11/10/2004","0:17:24",123178
"540","mitsui","11/10/2004","0:37:05",123179
"541","mitsui","11/10/2004","0:47:17",123180
"542","mitsui","11/10/2004","0:54:48",123181
"543","mitsui","11/10/2004","1:02:35",123182
"544","mitsui","11/10/2004","1:13:09",123183
"545","mitsui","11/10/2004","17:22.5",123184
"546","mitsui","11/10/2004","1:25:39",123185
"547","mitsui","11/10/2004","1:35:21",123186
"548","mitsui","11/10/2004","59:41.5",123187
"549","mitsui","11/10/2004","2:25:30",123188
"550","mitsui","11/10/2004","31:40.5",123189
"551","mitsui","11/10/2004","41:22.5",123190
"552","mitsui","11/10/2004","47:33.5",123191
"553","mitsui","11/10/2004","2:55:06",123192
"554","mitsui","11/10/2004","3:00:56",123193
"555","mitsui","11/10/2004","07:59.5",123194
"556","mitsui","11/10/2004","33:17.5",123195
"557","mitsui","11/10/2004","4:05:10",123196
"558","mitsui","11/10/2004","17:54.5",123197
"559","mitsui","11/10/2004","4:21:02",123198
"560","mitsui","11/10/2004","26:25.5",123199
"561","mitsui","11/10/2004","29:58.5",123200
"562","mitsui","11/10/2004","4:45:53",123201
"563","mitsui","11/10/2004","5:03:33",123202
"564","mitsui","11/10/2004","5:38:38",123203
"565","mitsui","11/10/2004","10:59.5",123204
"566","mitsui","11/10/2004","47:18.5",123205
"567","mitsui","11/10/2004","8:05:26",123206
"568","mitsui","11/10/2004","8:54:17",123207
"569","mitsui","11/10/2004","8:57:31",123208
"570","mitsui","11/10/2004","9:13:44",123209
"571","mitsui","11/10/2004","21:04.5",123210
"572","mitsui","11/10/2004","9:26:38",123211
"573","mitsui","11/10/2004","40:16.5",123212
"574","mitsui","11/10/2004","9:50:17",123213
"575","mitsui","11/10/2004","10:16:38",123214
"576","mitsui","11/10/2004","30:42.5",123215
"577","mitsui","11/10/2004","10:57:41",123216
"578","mitsui","11/10/2004","21:59.5",123217
"579","mitsui","11/10/2004","23:20.5",123218
"580","mitsui","11/10/2004","13:33:33",123219
"581","mitsui","11/10/2004","46:47.5",123220
